,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
24,Chevrolet,Suburban RST,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000.0
25,Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.0
26,Nissan,Sentra SR,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Yes,13998.0
27,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995.0
28,BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700.0
29,Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375.0
30,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000.0
31,Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0
32,BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,None reported,Yes,24998.0
33,Kia,Sorento SX,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999.0
34,Lexus,LX 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900.0
35,Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900.0
36,BMW,340 i,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Yes,33598.0
37,Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999.0
38,Hyundai,Tucson SE,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200.0
39,BMW,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000.0
40,Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950.0
41,Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Yes,45498.0
42,Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000.0
43,BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Yes,75798.0
44,Lucid,Air Grand Touring,2022,3552.0,,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,119999.0
45,Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880.0
46,Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147.0
47,MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000.0
48,Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500.0
49,Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990.0
50,Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500.0
51,Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Yes,20848.0
52,Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500.0
53,Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000.0
54,Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800.0
55,Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500.0
56,Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,Yes,30999.0
57,Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500.0
58,Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500.0
59,Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995.0
60,Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000.0
61,Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,Yes,144900.0
62,Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000.0
63,Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,None reported,Yes,23998.0
64,Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000.0
65,BMW,X4 M40i,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900.0
66,BMW,M4 CS,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,Yes,69998.0
67,Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900.0
68,Lucid,Air Grand Touring,2022,4900.0,,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,99000.0
69,Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000.0
70,Chrysler,300C SRT8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995.0
71,Bentley,Continental GT W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,130000.0
72,BMW,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999.0
73,Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,49950.0
74,Audi,RS 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950.0
75,Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499.0
76,Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,Yes,359991.0
77,Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999.0
78,Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000.0
79,Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100.0
80,Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None reported,Yes,37998.0
81,Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,Yes,72000.0
82,Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,53950.0
83,Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,47999.0
84,Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0
85,Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000.0
86,BMW,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18500.0
87,Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000.0
88,BMW,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,55000.0
89,Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,None reported,Yes,2300.0
90,Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,34000.0
91,Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,31995.0
92,Rivian,R1S Adventure Package,2023,2800.0,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,92000.0
93,Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,279950.0
94,Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900.0
95,BMW,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24950.0
96,Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Yes,39366.0
97,Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900.0
98,BMW,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900.0
99,Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995.0
100,Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,Yes,104900.0
101,GMC,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900.0
102,Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,Yes,75950.0
103,BMW,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000.0
104,Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995.0
105,Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655.0
106,BMW,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Yes,39998.0
107,Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0
108,Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500.0
109,BMW,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000.0
110,Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000.0
111,Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900.0
112,BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,Yes,73998.0
113,Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350.0
114,Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Yes,47698.0
115,Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500.0
116,RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662.0
117,Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0
118,Audi,A5 2.0T Premium,2011,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995.0
119,Nissan,GT-R Premium,2010,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500.0
120,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Yes,30775.0
121,Toyota,Corolla LE,2010,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995.0
122,Rivian,R1S Adventure Package,2023,2500.0,,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,None reported,Yes,94000.0
123,Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,Yes,44798.0
124,Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000.0
125,Chevrolet,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,22495.0
126,INFINITI,Q70h Base,2016,52750.0,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998.0
127,Audi,A7 Premium Plus,2020,25361.0,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,Yes,49998.0
128,Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,9995.0
129,Lucid,Air Pure,2023,1300.0,,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,None reported,Yes,86900.0
130,Chrysler,Pacifica Touring,2017,87305.0,–,–,9-Speed A/T,Silver,Black,None reported,Yes,9000.0
131,Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,25999.0
132,BMW,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,30000.0
133,Subaru,Forester Premium,2021,42125.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,None reported,Yes,27899.0
134,Mercedes-Benz,AMG C AMG C 63,2016,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000.0
135,Land,Rover LR3 HSE,2006,153843.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,9950.0
136,BMW,X7 xDrive40i,2019,35248.0,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,Yes,53998.0
137,Ford,Transit Connect XLT,2015,194454.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,9888.0
138,Lexus,LX 570 Three-Row,2021,21000.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999.0
139,Porsche,911 Carrera S,2013,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,None reported,Yes,86900.0
140,Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,12990.0
141,Nissan,Armada SL,2021,67800.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500.0
142,Porsche,Cayman Base,2014,79000.0,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,42999.0
143,Mercedes-Benz,GLE 450 GLE 450,2022,24906.0,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,Yes,63998.0
144,Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000.0
145,BMW,M5 Base,2013,86000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000.0
146,Hyundai,Kona N Base,2023,654.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,34599.0
147,Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500.0
148,Land,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800.0
149,Audi,S7 4.0T Premium Plus,2017,52500.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999.0
150,GMC,Acadia SLT-1,2011,120000.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,7500.0
151,Alfa,Romeo Stelvio Ti Sport,2020,18665.0,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Lunare White Metallic,Ice,None reported,Yes,35645.0
152,Ferrari,FF Base,2016,19987.0,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,149900.0
153,Kia,K900 5.0L,2017,36486.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950.0
